Entry	Date	Description
1208831090	2026-03-16	AMICUS FOR PETITIONER BRIEF [2163914] lodged by Catholic Theologians and Ethicists [Service Date: 03/16/2026 ] Length of Brief: 2,580 words. [26-1049] [Edited 03/17/2026 by EKC--MODIFIED EVENT FROM FILED TO LODGED] (Klubes, Benjamin) [Entered: 03/16/2026 07:50 PM]
1208831117	2026-03-16	MOTION [2163923] to participate as amicus curiae [Disclosure Listing: Attached] filed by TechNet, Software & Information Industry Association, Computer & Communications Industry Association, Information Technology Industry Council [Service Date: 03/16/2026 ] [26-1049] (Wolff, Daniel) [Entered: 03/16/2026 11:02 PM]
1208831120	2026-03-16	AMICUS FOR PETITIONER BRIEF [2163924] lodged by TechNet, Software & Information Industry Association, Computer & Communications Industry Association, Information Technology Industry Council [Service Date: 03/16/2026 ] Length of Brief: 2459 words. [26-1049] [Edited 03/17/2026 by EKC--MODIFIED EVENT FROM FILED TO LODGED] (Wolff, Daniel) [Entered: 03/16/2026 11:05 PM]
1208831430	2026-03-16	ENTRY OF APPEARANCE [2164097] filed by Ashley Gorski for American Civil Liberties Union and Center for Democracy and Technology and Patrick Toomey for American Civil Liberties Union and Center for Democracy and Technology. [26-1049] [Entered: 03/17/2026 03:15 PM]
1208831436	2026-03-16	AMICUS FOR PETITIONER BRIEF [2164098] lodged by American Civil Liberties Union and Center for Democracy and Technology [Service Date: 03/16/2026 ] Length of Brief: 6,486 words. [26-1049] [Entered: 03/17/2026 03:18 PM]
1208831446	2026-03-17	NOTICE [2164108] of intention to participate as amicus curiae [Disclosure Listing: Attached] filed by ACT | The App Association [Service Date: 03/17/2026 ] [26-1049] (Scarpelli, Brian) [Entered: 03/17/2026 03:25 PM]
1208831460	2026-03-17	MOTION [2164113] to participate as amicus curiae [Disclosure Listing: Attached] filed by ACT | The App Association [Service Date: 03/17/2026 ] [26-1049] (Scarpelli, Brian) [Entered: 03/17/2026 03:36 PM]
1208831539	2026-03-17	CORRECTED AMICUS FOR PETITIONER BRIEF [2164145] lodged by Former Senior National Security Government Officials [Service Date: 03/17/2026 ] Length of Brief: 6,132 Words. [26-1049] [Edited 03/18/2026 by EKC--MODIFIED EVENT FROM FILED TO LODGED] (Loeb, Alexis) [Entered: 03/17/2026 05:55 PM]
1208831564	2026-03-17	MOTION [2164155] to participate as amicus curiae [Disclosure Listing: Attached] filed by 149 Former Judges and Democracy Defenders Fund [Service Date: 03/17/2026 ] [26-1049] (Brill, Sophia) [Entered: 03/17/2026 08:14 PM]
1208831569	2026-03-17	AMICUS FOR PETITIONER BRIEF [2164156] lodged by 149 Former Judges and Democracy Defenders Fund [Service Date: 03/17/2026 ] Length of Brief: 4,224 words. [26-1049] [Edited 03/18/2026 by EKC--MODIFIED EVENT FROM FILED TO LODGED] (Brill, Sophia) [Entered: 03/17/2026 08:31 PM]
1208831708	2026-03-17	AMICUS FOR PETITIONER BRIEF [2164233] lodged by ACT | The App Association [Service Date: 03/17/2026 ] Length of Brief: 2,103 words. [26-1049] [Entered: 03/18/2026 01:05 PM]
1208832389	2026-03-19	RESPONSE IN OPPOSITION [2164558] to motion [2163176-2] filed by Peter B. Hegseth and United States Department of War [Service Date: 03/19/2026 by CM/ECF NDA] Length Certification: 5162 words. [26-1049] (Janda, Sean) [Entered: 03/19/2026 11:49 PM]
1208833581	2026-03-23	REPLY [2165167] filed by Anthropic PBC to response [Service Date: 03/23/2026 by CM/ECF NDA] Length Certification: 2,600 Words. [26-1049] (Dunbar, Kelly) [Entered: 03/23/2026 08:19 PM]
1208834843	2026-03-26	LETTER [2165837] pursuant to FRAP 28j advising of additional authorities filed by Anthropic PBC [Service Date: 03/26/2026 ] [26-1049] (Dunbar, Kelly) [Entered: 03/26/2026 10:08 PM]
-	2026-04-06	[DENIED BY ORDER FILED 4/20/26] MOTION 2167990 to participate as amicus curiae combined with AMICUS FOR PETITIONER BRIEF lodged by James Lakner [Service Date: 04/02/2026] Length of Brief: 1 page. [26-1049] [Entered: 04/10/2026 11:41 AM]
1208839342	2026-04-06	MOTION [2167990] to participate as amicus curiae combined with AMICUS FOR PETITIONER BRIEF lodged by James Lakner [Service Date: 04/02/2026] Length of Brief: 1 page. [26-1049] [Entered: 04/10/2026 11:41 AM]
1208838607	2026-04-08	DOCKETING STATEMENT [2167654] filed by Anthropic PBC [Service Date: 04/08/2026 ] [26-1049] (Dunbar, Kelly) [Entered: 04/08/2026 03:32 PM]
1208838607	2026-04-08	DOCKETING STATEMENT [2167654] filed by Anthropic PBC [Service Date: 04/08/2026 ] [26-1049] (Dunbar, Kelly) [Entered: 04/08/2026 03:32 PM]
1208838610	2026-04-08	CERTIFICATE AS TO PARTIES, RULINGS AND RELATED CASES [2167655] filed by Anthropic PBC [Service Date: 04/08/2026 ] [26-1049] (Dunbar, Kelly) [Entered: 04/08/2026 03:34 PM]
1208838613	2026-04-08	STATEMENT OF ISSUES [2167656] filed by Anthropic PBC [Service Date: 04/08/2026 ] [26-1049] (Dunbar, Kelly) [Entered: 04/08/2026 03:38 PM]
1208838616	2026-04-08	UNDERLYING DECISION IN CASE [2167657] submitted by Anthropic PBC [Service Date: 04/08/2026 ] [26-1049] (Dunbar, Kelly) [Entered: 04/08/2026 03:40 PM]
1208838622	2026-04-08	STATEMENT OF INTENT REGARDING APPENDIX DEFERRAL [2167658] filed by Anthropic PBC [Service Date: 04/08/2026 ] Intent: AppxDeferred [26-1049] (Dunbar, Kelly) [Entered: 04/08/2026 03:42 PM]
1208838678	2026-04-08	PER CURIAM ORDER (with Per Curiam Statement attached) [2167684] filed granting motions to participate as amicus curiae [2164155-2], [2164113-2], [2163923-2], [2163913-2], [2163907-2], granting motion to participate as amicus curiae [2163901-2], [2163273-2], [2163178-2]; The Clerk is directed to file the lodged Amicus briefs [2164233-2], [2164156-2], [2164145-2], [2164098-2], [2163924-2], [2163914-
-	2026-04-08	PER ABOVE ORDER lodged Amicus brief [2164233-2], Amicus brief [2164156-2], Amicus brief [2164145-2], Amicus brief [2164098-2], Amicus brief [2163924-2], Amicus brief [2163914-2], Amicus brief [2163300-2], Amicus brief [2163215-2] is filed [26-1049] [Entered: 04/08/2026 05:34 PM]
1208842447	2026-04-20	PER CURIAM ORDER [2169502] filed denying motion of James Lakner to participate as amicus curiae [2167990-2]. The Clerk is directed to note the docket accordingly. Before Judges: Henderson, Katsas and Rao. [26-1049] [Entered: 04/20/2026 02:48 PM]
1208843021	2026-04-22	AMICUS FOR PETITIONER BRIEF [2169767] filed by Foundation for American Innovation, Fifty Years, Fathom, ChinaTalk, Martin Chorzempa, Alex Imas, Pangram, Institute for Progress, Dean Ball, Dwarkesh Patel, Roots of Progress and Saif Khan Michael Sobolik, Steve Newman, Taren Stinebrickner-Kauffman [Service Date: 04/22/2026 ] Length of Brief: 3,612 words. [26-1049] (Hwang, Tim) [Entered: 04/22/2026 09
1208843139	2026-04-22	CONSENT AMICUS FOR PETITIONER BRIEF [2169853] filed by Taxpayers Protection Alliance Foundation [Service Date: 04/22/2026 ] Length of Brief: 3822 words. [26-1049] (Smith, Barbara) [Entered: 04/22/2026 01:35 PM]
1208843177	2026-04-22	ENTRY OF APPEARANCE [2169865] filed by Josephine K. Petrick on behalf of Amici Curiae for Petitioner Freedom Economy Business Association, The Nathan Cummings Foundation, Inc., Candide Group, Howard Fischer, Thomas Haslett, The Interfaith Center on Corporate Responsibility, Humanize Wealth, Investor Advocates for Social Justice, Pluralize Capital, Mission Driven Finance, John O'Farrell and Omidyar
1208843183	2026-04-22	AMICUS FOR PETITIONER BRIEF [2169868] filed by Freedom Economy Business Association, Candide Group, Howard Fischer, Thomas Haslett, Humanize Wealth, Investor Advocates for Social Justice, Mission Driven Finance, John O'Farrell, Omidyar Network LLC, Pluralize Capital, The Interfaith Center on Corporate Responsibility and The Nathan Cummings Foundation, Inc. American Federation of Teachers; Adasina 
1208843262	2026-04-22	AMICUS FOR PETITIONER FINAL BRIEF [2169900] filed by Catholic Moral Theologians and Ethicists Catholic Theologians and Ethicists [Service Date: 04/22/2026 ] Length of Brief: 2,605 words. [26-1049] (Klubes, Benjamin) [Entered: 04/22/2026 04:05 PM]
1208843288	2026-04-22	AMICUS FOR PETITIONER BRIEF [2169913] filed by Former Senior National Security Government Officials [Service Date: 04/22/2026 ] Length of Brief: 6,490 words. [26-1049] (Loeb, Alexis) [Entered: 04/22/2026 04:55 PM]
1208843319	2026-04-22	CONSENT NOTICE [2169923] of intention to participate as amicus curiae [Disclosure Listing: Attached] filed by Employees of Open AI and Google in Their Personal Capacities [Service Date: 04/22/2026 ] [26-1049] (Lev, Ori) [Entered: 04/22/2026 05:21 PM]
